#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV3775	species	Dodecaceria sp. CMC01	Eukaryota	Annelida	Polychaeta	Spionida	Cirratulidae	Dodecaceria	Dodecaceria sp. CMC01	best hit
ASV378	species	Ditrichocorycaeus anglicus	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus	best hit
ASV3787	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3790	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3792	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV38	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV3809	species	Savoiea robusta	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Savoiea	Savoiea robusta	best hit
ASV3810	species	Ophiopholis kennerlyi	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	Ophiopholis	Ophiopholis kennerlyi	best hit
ASV384	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV3847	species	Nereis vexillosa	Eukaryota	Annelida	Polychaeta	Phyllodocida	Nereididae	Nereis	Nereis vexillosa	best hit
ASV3869	species	Polysiphonia morrowii	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia morrowii	best hit
ASV387	species	Balanus crenatus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus crenatus	best hit
ASV3876	species	Mesophyllum vancouveriense	Eukaryota	Rhodophyta	Florideophyceae	Hapalidiales	Hapalidiaceae	Mesophyllum	Mesophyllum vancouveriense	best hit
ASV3894	species	Strongylocentrotus droebachiensis	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus droebachiensis	best hit
ASV3896	species	Wildemania amplissima	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Wildemania	Wildemania amplissima	best hit
ASV39	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV391	genus	Microstomum	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Microstomidae	Microstomum	no identification	lca
ASV3912	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV392	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV393	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV3933	genus	Polysiphonia	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	no identification	lca
ASV3966	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV398	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV3994	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4009	species	Hildenbrandia sp. 22GWS	Eukaryota	Rhodophyta	Florideophyceae	Hildenbrandiales	Hildenbrandiaceae	Hildenbrandia	Hildenbrandia sp. 22GWS	best hit
ASV404	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV4085	genus	Halisarca	Eukaryota	Porifera	Demospongiae	Dendroceratida	Halisarcidae	Halisarca	no identification	lca
ASV4110	species	Pugettia producta	Eukaryota	Arthropoda	Malacostraca	Decapoda	Epialtidae	Pugettia	Pugettia producta	best hit
ASV4113	species	Patiria miniata	Eukaryota	Echinodermata	Asteroidea	Valvatida	Asterinidae	Patiria	Patiria miniata	best hit
ASV4121	species	Sarcodiotheca sp. 1gaudichaudii	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	Sarcodiotheca	Sarcodiotheca sp. 1gaudichaudii	best hit
ASV413	species	Dodecaceria sp. CMC01	Eukaryota	Annelida	Polychaeta	Spionida	Cirratulidae	Dodecaceria	Dodecaceria sp. CMC01	best hit
ASV4131	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4141	species	Emplectonema sp. 1 TCH-2015	Eukaryota	Nemertea	Enopla	Monostilifera	Emplectonematidae	Emplectonema	Emplectonema sp. 1 TCH-2015	best hit
ASV4161	species	Simulium tuberosum complex sp. JMR-2009	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium tuberosum complex sp. JMR-2009	best hit
ASV417	species	Eupolymnia heterobranchia	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	Eupolymnia	Eupolymnia heterobranchia	best hit
ASV4170	species	Xiphister mucosus	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Xiphister	Xiphister mucosus	best hit
ASV419	species	Ditrichocorycaeus anglicus	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus	best hit
ASV4204	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4215	species	Phyllodoce medipapillata	Eukaryota	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Phyllodoce	Phyllodoce medipapillata	best hit
ASV4234	species	Asterionellopsis lenisilicea	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis	Asterionellopsis lenisilicea	best hit
ASV4262	species	Polysiphonia sp. _1pacifica	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia sp. _1pacifica	best hit
ASV427	species	Acrochaetium moniliforme	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium moniliforme	best hit
ASV4280	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV429	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV4294	species	Cauloramphus tortilis	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Calloporidae	Cauloramphus	Cauloramphus tortilis	best hit
ASV4338	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4354	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4366	order	Suberitida	Eukaryota	Porifera	Demospongiae	Suberitida	no identification	no identification	no identification	lca
ASV4369	species	Bossiella frondescens	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Bossiella	Bossiella frondescens	best hit
ASV4374	species	Caprella sp. BCAMP0096	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella	Caprella sp. BCAMP0096	best hit
ASV439	species	Haminoea vesicula	Eukaryota	Mollusca	Gastropoda	Cephalaspidea	Haminoeidae	Haminoea	Haminoea vesicula	best hit
ASV4394	species	Sarsia tubulosa	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Sarsia	Sarsia tubulosa	best hit
ASV44	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV440	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV4401	species	Caprella laeviuscula	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella	Caprella laeviuscula	best hit
ASV4413	species	Odontosyllis phosphorea	Eukaryota	Annelida	Polychaeta	Phyllodocida	Syllidae	Odontosyllis	Odontosyllis phosphorea	best hit
ASV4417	species	Haliclona sp. E GPM-2011	Eukaryota	Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona	Haliclona sp. E GPM-2011	best hit
ASV4450	species	Cucumaria cf. lubrica EAC-2010	Eukaryota	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria	Cucumaria cf. lubrica EAC-2010	best hit
ASV4453	species	Cancer productus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Cancridae	Cancer	Cancer productus	best hit
ASV4483	species	Phyllodoce medipapillata	Eukaryota	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Phyllodoce	Phyllodoce medipapillata	best hit
ASV4485	species	Ceramium pacificum	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Ceramium	Ceramium pacificum	best hit
ASV4491	species	Thalassiosira punctigera	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira punctigera	best hit
ASV451	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV452	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV4542	species	Hemigrapsus nudus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus	Hemigrapsus nudus	best hit
ASV4544	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4565	species	Lithophyllum sp. 2BCcrust	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	Lithophyllaceae	Lithophyllum	Lithophyllum sp. 2BCcrust	best hit
ASV4568	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV460	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV4654	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4687	species	Liparocephalus cordicollis	Eukaryota	Arthropoda	Insecta	Coleoptera	Staphylinidae	Liparocephalus	Liparocephalus cordicollis	best hit
ASV469	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV4716	species	Rhodophysema georgei	Eukaryota	Rhodophyta	Florideophyceae	Palmariales	Rhodophysemataceae	Rhodophysema	Rhodophysema georgei	best hit
ASV472	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV4733	species	Harmothoe aff. imbricata CMC03	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	Harmothoe	Harmothoe aff. imbricata CMC03	best hit
ASV475	species	Chthamalus fragilis	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus fragilis	best hit
ASV476	species	Balanus crenatus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus crenatus	best hit
ASV4761	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4763	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV477	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV4781	species	Metridia pacifica	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica	best hit
ASV4793	species	Halosaccion americanum	Eukaryota	Rhodophyta	Florideophyceae	Palmariales	Palmariaceae	Halosaccion	Halosaccion americanum	best hit
ASV480	species	Typosyllis sp. CMC01	Eukaryota	Annelida	Polychaeta	Phyllodocida	Syllidae	Typosyllis	Typosyllis sp. CMC01	best hit
ASV4825	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV4832	species	Mesocentrotus franciscanus	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Mesocentrotus	Mesocentrotus franciscanus	best hit
ASV4839	species	Glycera robusta	Eukaryota	Annelida	Polychaeta	Phyllodocida	Glyceridae	Glycera	Glycera robusta	best hit
ASV486	species	Aequorea sp. USCABGF	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	Aequorea sp. USCABGF	best hit
ASV4862	species	Hemigrapsus oregonensis	Eukaryota	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus	Hemigrapsus oregonensis	best hit
ASV488	species	Muggiaea atlantica	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Muggiaea	Muggiaea atlantica	best hit
ASV4884	species	Hemigrapsus nudus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus	Hemigrapsus nudus	best hit
ASV4892	species	Pugettia richii	Eukaryota	Arthropoda	Malacostraca	Decapoda	Epialtidae	Pugettia	Pugettia richii	best hit
ASV4932	species	Sarcodiotheca sp. 2gaudichaudii	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	Sarcodiotheca	Sarcodiotheca sp. 2gaudichaudii	best hit
ASV495	species	Scolelepis squamata	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Scolelepis	Scolelepis squamata	best hit
ASV4950	species	Pagurus hirsutiusculus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus	Pagurus hirsutiusculus	best hit
ASV4957	species	Dasybranchus sp. DH1	Eukaryota	Annelida	Polychaeta	Capitellida	Capitellidae	Dasybranchus	Dasybranchus sp. DH1	best hit
ASV4964	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV497	species	Chthamalus fragilis	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus fragilis	best hit
ASV498	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV4988	species	Ptilota hypnoides	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Ptilota	Ptilota hypnoides	best hit
ASV4990	species	Lirularia succincta	Eukaryota	Mollusca	Gastropoda	Trochida	Trochidae	Lirularia	Lirularia succincta	best hit
ASV4992	species	Chiharaea silvae	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Chiharaea	Chiharaea silvae	best hit
ASV5	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV5011	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV5014	species	Pyropia haitanensis	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis	best hit
ASV504	species	Patiria miniata	Eukaryota	Echinodermata	Asteroidea	Valvatida	Asterinidae	Patiria	Patiria miniata	best hit
ASV507	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV509	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV51	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV5119	species	Polysiphonia pacifica	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia pacifica	best hit
ASV512	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV513	species	Chthamalus fragilis	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus fragilis	best hit
ASV5146	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV516	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV522	species	Micropodarke dubia	Eukaryota	Annelida	Polychaeta	Phyllodocida	Hesionidae	Micropodarke	Micropodarke dubia	best hit
ASV524	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV533	species	Podon leuckartii	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Podon	Podon leuckartii	best hit
ASV539	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV553	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV554	species	Haminoea virescens	Eukaryota	Mollusca	Gastropoda	Cephalaspidea	Haminoeidae	Haminoea	Haminoea virescens	best hit
ASV558	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV56	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV569	genus	Microstomum	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Microstomidae	Microstomum	no identification	lca
ASV570	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV571	species	Muggiaea atlantica	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Muggiaea	Muggiaea atlantica	best hit
ASV579	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV587	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV600	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV606	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV608	species	Acrochaetium moniliforme	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium moniliforme	best hit
ASV612	species	Halosydna brevisetosa	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	Halosydna	Halosydna brevisetosa	best hit
ASV615	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV626	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV634	species	Eurytemora americana	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Temoridae	Eurytemora	Eurytemora americana	best hit
ASV639	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV643	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV644	species	Ditylum brightwellii	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum	Ditylum brightwellii	best hit
ASV648	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV663	species	Centropages abdominalis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Centropagidae	Centropages	Centropages abdominalis	best hit
ASV666	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV670	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV671	species	Halosydna brevisetosa	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	Halosydna	Halosydna brevisetosa	best hit
ASV673	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV677	genus	Microstomum	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Microstomidae	Microstomum	no identification	lca
ASV680	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV681	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV683	species	Tortanus discaudatus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	Tortanus discaudatus	best hit
ASV687	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV692	species	Scolelepis squamata	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Scolelepis	Scolelepis squamata	best hit
ASV704	species	Pseudocalanus acuspes	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus acuspes	best hit
ASV709	species	Chthamalus fragilis	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus fragilis	best hit
ASV726	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV734	genus	Microstomum	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Microstomidae	Microstomum	no identification	lca
ASV745	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV747	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV749	species	Platynereis bicanaliculata	Eukaryota	Annelida	Polychaeta	Phyllodocida	Nereididae	Platynereis	Platynereis bicanaliculata	best hit
ASV752	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV755	species	Agalma elegans	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	Agalma	Agalma elegans	best hit
ASV76	species	Clytia gracilis	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gracilis	best hit
ASV760	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	best hit
ASV765	species	Cyanea sp. USWAQCN	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	Cyanea	Cyanea sp. USWAQCN	best hit
ASV77	species	Mesocentrotus franciscanus	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Mesocentrotus	Mesocentrotus franciscanus	best hit
ASV774	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV776	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV781	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV786	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV788	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV798	species	Balanus crenatus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus crenatus	best hit
ASV799	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV804	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV807	species	Semibalanus cariosus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Archaeobalanidae	Semibalanus	Semibalanus cariosus	best hit
ASV810	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV817	species	Calanus pacificus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus	best hit
ASV818	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV823	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV824	species	Calanus pacificus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus	best hit
ASV827	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV830	species	Epilabidocera amphitrites	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Pontellidae	Epilabidocera	Epilabidocera amphitrites	best hit
ASV831	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV833	species	Balanus crenatus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus crenatus	best hit
ASV839	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV843	species	Pseudocalanus newmani	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus newmani	best hit
ASV855	species	Chondracanthus exasperatus	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Chondracanthus	Chondracanthus exasperatus	best hit
ASV866	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV872	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV877	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV880	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV881	species	Micropodarke dubia	Eukaryota	Annelida	Polychaeta	Phyllodocida	Hesionidae	Micropodarke	Micropodarke dubia	best hit
ASV889	species	Typosyllis sp. CMC01	Eukaryota	Annelida	Polychaeta	Phyllodocida	Syllidae	Typosyllis	Typosyllis sp. CMC01	best hit
ASV892	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV896	species	Balanus crenatus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus crenatus	best hit
ASV897	species	Epilabidocera amphitrites	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Pontellidae	Epilabidocera	Epilabidocera amphitrites	best hit
ASV902	species	Eurytemora americana	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Temoridae	Eurytemora	Eurytemora americana	best hit
ASV905	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV910	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV914	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV918	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
